n_docs,dim,M,ef_construct,ef_search,quant,engine_type,recall_at_10,qps,source
500000,256,32,32,32,none,hnsw,0.924,13421.61,synthetic
500000,256,32,64,64,none,hnsw,0.99422,6710.8,synthetic
500000,256,32,128,128,none,hnsw,0.9999,3355.4,synthetic
500000,256,32,256,256,none,hnsw,0.9999,1677.7,synthetic
500000,256,32,512,512,none,hnsw,0.9999,838.85,synthetic
500000,256,48,32,32,none,hnsw,0.97905,15157.65,synthetic
500000,256,48,64,64,none,hnsw,0.99956,7578.83,synthetic
500000,256,48,128,128,none,hnsw,0.9999,3789.41,synthetic
500000,256,48,256,256,none,hnsw,0.9999,1894.71,synthetic
500000,256,48,512,512,none,hnsw,0.9999,947.35,synthetic
500000,384,8,32,32,none,hnsw,0.47495,7230.04,synthetic
500000,384,8,64,64,none,hnsw,0.72432,3615.02,synthetic
500000,384,8,128,128,none,hnsw,0.924,1807.51,synthetic
500000,384,8,256,256,none,hnsw,0.99422,903.76,synthetic
500000,384,8,512,512,none,hnsw,0.9999,451.88,synthetic
500000,384,12,32,32,none,hnsw,0.61954,8165.23,synthetic
500000,384,12,64,64,none,hnsw,0.85525,4082.61,synthetic
500000,384,12,128,128,none,hnsw,0.97905,2041.31,synthetic
500000,384,12,256,256,none,hnsw,0.99956,1020.65,synthetic
500000,384,12,512,512,none,hnsw,0.9999,510.33,synthetic
500000,384,16,32,32,none,hnsw,0.72432,8901.23,synthetic
500000,384,16,64,64,none,hnsw,0.924,4450.61,synthetic
500000,384,16,128,128,none,hnsw,0.99422,2225.31,synthetic
500000,384,16,256,256,none,hnsw,0.9999,1112.65,synthetic
500000,384,16,512,512,none,hnsw,0.9999,556.33,synthetic
500000,384,24,32,32,none,hnsw,0.85525,10052.57,synthetic
500000,384,24,64,64,none,hnsw,0.97905,5026.29,synthetic
500000,384,24,128,128,none,hnsw,0.99956,2513.14,synthetic
500000,384,24,256,256,none,hnsw,0.9999,1256.57,synthetic
500000,384,24,512,512,none,hnsw,0.9999,628.29,synthetic
500000,384,32,32,32,none,hnsw,0.924,10958.7,synthetic
500000,384,32,64,64,none,hnsw,0.99422,5479.35,synthetic
500000,384,32,128,128,none,hnsw,0.9999,2739.67,synthetic
500000,384,32,256,256,none,hnsw,0.9999,1369.84,synthetic
500000,384,32,512,512,none,hnsw,0.9999,684.92,synthetic
500000,384,48,32,32,none,hnsw,0.97905,12376.17,synthetic
500000,384,48,64,64,none,hnsw,0.99956,6188.09,synthetic
500000,384,48,128,128,none,hnsw,0.9999,3094.04,synthetic
500000,384,48,256,256,none,hnsw,0.9999,1547.02,synthetic
500000,384,48,512,512,none,hnsw,0.9999,773.51,synthetic
500000,768,8,32,32,none,hnsw,0.47495,5112.41,synthetic
500000,768,8,64,64,none,hnsw,0.72432,2556.21,synthetic
500000,768,8,128,128,none,hnsw,0.924,1278.1,synthetic
500000,768,8,256,256,none,hnsw,0.99422,639.05,synthetic
500000,768,8,512,512,none,hnsw,0.9999,319.53,synthetic
500000,768,12,32,32,none,hnsw,0.61954,5773.69,synthetic
500000,768,12,64,64,none,hnsw,0.85525,2886.84,synthetic
500000,768,12,128,128,none,hnsw,0.97905,1443.42,synthetic
500000,768,12,256,256,none,hnsw,0.99956,721.71,synthetic
500000,768,12,512,512,none,hnsw,0.9999,360.86,synthetic
500000,768,16,32,32,none,hnsw,0.72432,6294.12,synthetic
500000,768,16,64,64,none,hnsw,0.924,3147.06,synthetic
500000,768,16,128,128,none,hnsw,0.99422,1573.53,synthetic
500000,768,16,256,256,none,hnsw,0.9999,786.76,synthetic
500000,768,16,512,512,none,hnsw,0.9999,393.38,synthetic
500000,768,24,32,32,none,hnsw,0.85525,7108.24,synthetic
500000,768,24,64,64,none,hnsw,0.97905,3554.12,synthetic
500000,768,24,128,128,none,hnsw,0.99956,1777.06,synthetic
500000,768,24,256,256,none,hnsw,0.9999,888.53,synthetic
500000,768,24,512,512,none,hnsw,0.9999,444.27,synthetic
500000,768,32,32,32,none,hnsw,0.924,7748.97,synthetic
500000,768,32,64,64,none,hnsw,0.99422,3874.48,synthetic
500000,768,32,128,128,none,hnsw,0.9999,1937.24,synthetic
500000,768,32,256,256,none,hnsw,0.9999,968.62,synthetic
500000,768,32,512,512,none,hnsw,0.9999,484.31,synthetic
500000,768,48,32,32,none,hnsw,0.97905,8751.27,synthetic
500000,768,48,64,64,none,hnsw,0.99956,4375.64,synthetic
500000,768,48,128,128,none,hnsw,0.9999,2187.82,synthetic
500000,768,48,256,256,none,hnsw,0.9999,1093.91,synthetic
500000,768,48,512,512,none,hnsw,0.9999,546.95,synthetic
1000000,128,8,32,32,none,hnsw,0.47495,11894.51,synthetic
1000000,128,8,64,64,none,hnsw,0.72432,5947.26,synthetic
1000000,128,8,128,128,none,hnsw,0.924,2973.63,synthetic
1000000,128,8,256,256,none,hnsw,0.99422,1486.81,synthetic
1000000,128,8,512,512,none,hnsw,0.9999,743.41,synthetic
1000000,128,12,32,32,none,hnsw,0.61954,13433.03,synthetic
1000000,128,12,64,64,none,hnsw,0.85525,6716.52,synthetic
1000000,128,12,128,128,none,hnsw,0.97905,3358.26,synthetic
1000000,128,12,256,256,none,hnsw,0.99956,1679.13,synthetic
1000000,128,12,512,512,none,hnsw,0.9999,839.56,synthetic
1000000,128,16,32,32,none,hnsw,0.72432,14643.86,synthetic
1000000,128,16,64,64,none,hnsw,0.924,7321.93,synthetic
1000000,128,16,128,128,none,hnsw,0.99422,3660.97,synthetic
1000000,128,16,256,256,none,hnsw,0.9999,1830.48,synthetic
1000000,128,16,512,512,none,hnsw,0.9999,915.24,synthetic
1000000,128,24,32,32,none,hnsw,0.85525,16538.0,synthetic
1000000,128,24,64,64,none,hnsw,0.97905,8269.0,synthetic
1000000,128,24,128,128,none,hnsw,0.99956,4134.5,synthetic
1000000,128,24,256,256,none,hnsw,0.9999,2067.25,synthetic
1000000,128,24,512,512,none,hnsw,0.9999,1033.63,synthetic
1000000,128,32,32,32,none,hnsw,0.924,18028.71,synthetic
1000000,128,32,64,64,none,hnsw,0.99422,9014.35,synthetic
1000000,128,32,128,128,none,hnsw,0.9999,4507.18,synthetic
1000000,128,32,256,256,none,hnsw,0.9999,2253.59,synthetic
1000000,128,32,512,512,none,hnsw,0.9999,1126.79,synthetic
1000000,128,48,32,32,none,hnsw,0.97905,20360.67,synthetic
1000000,128,48,64,64,none,hnsw,0.99956,10180.33,synthetic
1000000,128,48,128,128,none,hnsw,0.9999,5090.17,synthetic
1000000,128,48,256,256,none,hnsw,0.9999,2545.08,synthetic
1000000,128,48,512,512,none,hnsw,0.9999,1272.54,synthetic
1000000,256,8,32,32,none,hnsw,0.47495,8410.69,synthetic
1000000,256,8,64,64,none,hnsw,0.72432,4205.35,synthetic
1000000,256,8,128,128,none,hnsw,0.924,2102.67,synthetic
1000000,256,8,256,256,none,hnsw,0.99422,1051.34,synthetic
1000000,256,8,512,512,none,hnsw,0.9999,525.67,synthetic
1000000,256,12,32,32,none,hnsw,0.61954,9498.59,synthetic
1000000,256,12,64,64,none,hnsw,0.85525,4749.29,synthetic
1000000,256,12,128,128,none,hnsw,0.97905,2374.65,synthetic
1000000,256,12,256,256,none,hnsw,0.99956,1187.32,synthetic
1000000,256,12,512,512,none,hnsw,0.9999,593.66,synthetic
1000000,256,16,32,32,none,hnsw,0.72432,10354.77,synthetic
1000000,256,16,64,64,none,hnsw,0.924,5177.39,synthetic
1000000,256,16,128,128,none,hnsw,0.99422,2588.69,synthetic
1000000,256,16,256,256,none,hnsw,0.9999,1294.35,synthetic
1000000,256,16,512,512,none,hnsw,0.9999,647.17,synthetic
1000000,256,24,32,32,none,hnsw,0.85525,11694.13,synthetic
1000000,256,24,64,64,none,hnsw,0.97905,5847.07,synthetic
1000000,256,24,128,128,none,hnsw,0.99956,2923.53,synthetic
1000000,256,24,256,256,none,hnsw,0.9999,1461.77,synthetic
1000000,256,24,512,512,none,hnsw,0.9999,730.88,synthetic
1000000,256,32,32,32,none,hnsw,0.924,12748.22,synthetic
1000000,256,32,64,64,none,hnsw,0.99422,6374.11,synthetic
1000000,256,32,128,128,none,hnsw,0.9999,3187.06,synthetic
1000000,256,32,256,256,none,hnsw,0.9999,1593.53,synthetic
1000000,256,32,512,512,none,hnsw,0.9999,796.76,synthetic
1000000,256,48,32,32,none,hnsw,0.97905,14397.17,synthetic
1000000,256,48,64,64,none,hnsw,0.99956,7198.58,synthetic
1000000,256,48,128,128,none,hnsw,0.9999,3599.29,synthetic
1000000,256,48,256,256,none,hnsw,0.9999,1799.65,synthetic
1000000,256,48,512,512,none,hnsw,0.9999,899.82,synthetic
1000000,384,8,32,32,none,hnsw,0.47495,6867.3,synthetic
1000000,384,8,64,64,none,hnsw,0.72432,3433.65,synthetic
1000000,384,8,128,128,none,hnsw,0.924,1716.82,synthetic
1000000,384,8,256,256,none,hnsw,0.99422,858.41,synthetic
1000000,384,8,512,512,none,hnsw,0.9999,429.21,synthetic
1000000,384,12,32,32,none,hnsw,0.61954,7755.56,synthetic
1000000,384,12,64,64,none,hnsw,0.85525,3877.78,synthetic
1000000,384,12,128,128,none,hnsw,0.97905,1938.89,synthetic
1000000,384,12,256,256,none,hnsw,0.99956,969.45,synthetic
1000000,384,12,512,512,none,hnsw,0.9999,484.72,synthetic
1000000,384,16,32,32,none,hnsw,0.72432,8454.64,synthetic
1000000,384,16,64,64,none,hnsw,0.924,4227.32,synthetic
1000000,384,16,128,128,none,hnsw,0.99422,2113.66,synthetic
1000000,384,16,256,256,none,hnsw,0.9999,1056.83,synthetic
1000000,384,16,512,512,none,hnsw,0.9999,528.41,synthetic
1000000,384,24,32,32,none,hnsw,0.85525,9548.22,synthetic
1000000,384,24,64,64,none,hnsw,0.97905,4774.11,synthetic
1000000,384,24,128,128,none,hnsw,0.99956,2387.05,synthetic
1000000,384,24,256,256,none,hnsw,0.9999,1193.53,synthetic
1000000,384,24,512,512,none,hnsw,0.9999,596.76,synthetic
1000000,384,32,32,32,none,hnsw,0.924,10408.88,synthetic
1000000,384,32,64,64,none,hnsw,0.99422,5204.44,synthetic
1000000,384,32,128,128,none,hnsw,0.9999,2602.22,synthetic
1000000,384,32,256,256,none,hnsw,0.9999,1301.11,synthetic
1000000,384,32,512,512,none,hnsw,0.9999,650.56,synthetic
1000000,384,48,32,32,none,hnsw,0.97905,11755.24,synthetic
1000000,384,48,64,64,none,hnsw,0.99956,5877.62,synthetic
1000000,384,48,128,128,none,hnsw,0.9999,2938.81,synthetic
1000000,384,48,256,256,none,hnsw,0.9999,1469.4,synthetic
1000000,384,48,512,512,none,hnsw,0.9999,734.7,synthetic
1000000,768,8,32,32,none,hnsw,0.47495,4855.91,synthetic
1000000,768,8,64,64,none,hnsw,0.72432,2427.96,synthetic
1000000,768,8,128,128,none,hnsw,0.924,1213.98,synthetic
1000000,768,8,256,256,none,hnsw,0.99422,606.99,synthetic
1000000,768,8,512,512,none,hnsw,0.9999,303.49,synthetic
1000000,768,12,32,32,none,hnsw,0.61954,5484.01,synthetic
1000000,768,12,64,64,none,hnsw,0.85525,2742.01,synthetic
1000000,768,12,128,128,none,hnsw,0.97905,1371.0,synthetic
1000000,768,12,256,256,none,hnsw,0.99956,685.5,synthetic
1000000,768,12,512,512,none,hnsw,0.9999,342.75,synthetic
1000000,768,16,32,32,none,hnsw,0.72432,5978.33,synthetic
1000000,768,16,64,64,none,hnsw,0.924,2989.17,synthetic
1000000,768,16,128,128,none,hnsw,0.99422,1494.58,synthetic
1000000,768,16,256,256,none,hnsw,0.9999,747.29,synthetic
1000000,768,16,512,512,none,hnsw,0.9999,373.65,synthetic
1000000,768,24,32,32,none,hnsw,0.85525,6751.61,synthetic
1000000,768,24,64,64,none,hnsw,0.97905,3375.81,synthetic
1000000,768,24,128,128,none,hnsw,0.99956,1687.9,synthetic
1000000,768,24,256,256,none,hnsw,0.9999,843.95,synthetic
1000000,768,24,512,512,none,hnsw,0.9999,421.98,synthetic
1000000,768,32,32,32,none,hnsw,0.924,7360.19,synthetic
1000000,768,32,64,64,none,hnsw,0.99422,3680.09,synthetic
1000000,768,32,128,128,none,hnsw,0.9999,1840.05,synthetic
1000000,768,32,256,256,none,hnsw,0.9999,920.02,synthetic
1000000,768,32,512,512,none,hnsw,0.9999,460.01,synthetic
1000000,768,48,32,32,none,hnsw,0.97905,8312.21,synthetic
1000000,768,48,64,64,none,hnsw,0.99956,4156.1,synthetic
1000000,768,48,128,128,none,hnsw,0.9999,2078.05,synthetic
1000000,768,48,256,256,none,hnsw,0.9999,1039.03,synthetic
1000000,768,48,512,512,none,hnsw,0.9999,519.51,synthetic
